condition_id,name,description
72,Sciatica,"Pain affecting the back, hip, and outer side of the leg, caused by compression of a spinal nerve root."
73,Varicose Veins,"Swollen, twisted veins that usually occur in the legs and can cause pain."
74,Kidney Stones,Hard deposits of minerals and salts that form inside the kidneys.
75,Ulcerative Colitis,"A chronic, inflammatory bowel disease that causes inflammation and ulcers in the digestive tract."
76,Cystic Fibrosis,"A hereditary disorder affecting the exocrine glands, causing the production of abnormally thick mucus."
77,Rosacea,A condition that causes redness and visible blood vessels in the face.
78,Carpal Tunnel Syndrome,A condition caused by compression of the median nerve as it travels through the wrist at the carpal tunnel.
79,Lyme Disease,An infectious disease caused by the bacterium Borrelia transmitted by tick bites.
80,Atrial Fibrillation,A heart condition that causes an irregular and often abnormally fast heart rate.
81,Cataracts,"A condition in which the lens of the eye becomes progressively opaque, resulting in blurred vision."
82,Chronic Kidney Disease,A long-term condition where the kidneys do not work effectively.
83,Dermatitis,A general term that describes inflammation of the skin.
84,Emphysema,"A lung condition that causes shortness of breath, usually as part of chronic obstructive pulmonary disease."
85,Gallstones,Hardened deposits of digestive fluid that can form in the gallbladder.
86,Herpes Zoster,"Also known as shingles, it is a reactivation of the chickenpox virus, causing a painful rash."
87,Hyperlipidemia,An abnormally high concentration of fats or lipids in the blood.
88,Macular Degeneration,An eye disease that causes vision loss in the center of the field of vision.
89,Osteoarthritis,A type of arthritis that occurs when flexible tissue at the ends of bones wears down.
90,Psoriatic Arthritis,A form of arthritis that affects some people who have psoriasis.
91,Tinnitus,The perception of noise or ringing in the ears.
92,Urticaria,"Also known as hives, it is a skin rash triggered by a reaction to food, medicine, or other irritants."
93,Cholangitis,An inflammation of the bile duct system.
94,Agrens Syndrome,An autoimmune disease that affects the glands that produce tears and saliva.
95,Trigeminal Neuralgia,A chronic pain condition that affects the trigeminal nerve in the face.
96,Wilson's Disease,"A rare inherited disorder that causes copper to accumulate in the liver, brain, and other vital organs."
97,Ankylosing Spondylitis,An inflammatory disease that can cause the vertebrae to fuse.
98,Bell's Palsy,A sudden weakness in the muscles on one half of the face.
99,Duchenne Muscular Dystrophy,A genetic disorder characterized by progressive muscle degeneration and weakness.
